Date,Adj Close,Close,High,Low,Open,Volume
2025-11-28,90919.265625,90919.265625,92969.0859375,90257.1171875,91285.3828125,60895830289
2025-11-29,90851.7578125,90851.7578125,91187.6171875,90260.1875,90918.7421875,37921773455
2025-11-30,90394.3125,90394.3125,91965.046875,90394.3125,90838.2109375,38497902869
2025-12-01,86321.5703125,86321.5703125,90398.15625,83862.25,90389.109375,87962894424
2025-12-02,91350.203125,91350.203125,92316.6328125,86202.1953125,86322.5390625,78546798211
2025-12-03,93527.8046875,93527.8046875,94060.7734375,91056.390625,91345.09375,77650204986
2025-12-04,92141.625,92141.625,94038.2421875,90976.1015625,93454.2578125,64538402681
2025-12-05,89387.7578125,89387.7578125,92702.640625,88152.140625,92133.6484375,63256398633
2025-12-06,89272.375,89272.375,90267.4609375,88951.6640625,89389.359375,37994042405
2025-12-07,90405.640625,90405.640625,91740.84375,87799.5625,89277.8125,47394898960
2025-12-08,90640.203125,90640.203125,92267.1171875,89644.890625,90424.5859375,57394099056
2025-12-09,92691.7109375,92691.7109375,94601.5703125,89586.9765625,90639.703125,66861721440
2025-12-10,92020.9453125,92020.9453125,94477.15625,91640.1328125,92695.234375,65420694513
2025-12-11,92511.3359375,92511.3359375,93554.265625,89335.296875,92011.3046875,64532834621
2025-12-12,90270.4140625,90270.4140625,92747.9296875,89532.6015625,92513.6640625,80275884583
2025-12-13,90298.7109375,90298.7109375,90647.5703125,89800.9921875,90257.796875,64237748110
2025-12-14,88175.1796875,88175.1796875,90498.109375,87634.9375,90296.4375,50465972205
2025-12-15,86419.78125,86419.78125,89983.921875,85304.078125,88171.078125,45559514323
2025-12-16,87843.984375,87843.984375,88170.09375,85381.6875,86424.40625,41262178223
2025-12-17,86143.7578125,86143.7578125,90264.5703125,85316.265625,87847.6171875,44243392914
2025-12-18,85462.5078125,85462.5078125,89412.6640625,84436.3125,86144.3671875,52667115348
2025-12-19,88103.3828125,88103.3828125,89339.1171875,85107.6640625,85476.1328125,46733310561
2025-12-20,88344.0,88344.0,88497.203125,87924.875,88101.671875,14688196659
2025-12-21,88621.75,88621.75,89027.953125,87613.203125,88344.703125,19845522660
2025-12-22,88490.015625,88490.015625,90501.9296875,87908.0703125,88621.3984375,38047472118
2025-12-23,87414.0,87414.0,88898.3828125,86606.9765625,88490.03125,43683011533
2025-12-24,87611.9609375,87611.9609375,87956.8828125,86411.796875,87404.3203125,25550297986
2025-12-25,87234.7421875,87234.7421875,88501.7890625,86949.2578125,87608.3203125,19953216347
2025-12-26,87301.4296875,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908
2025-12-28,87730.828125,87730.828125,87866.5859375,87657.78125,87806.0546875,13795331072
