Date,Adj Close,Close,High,Low,Open,Volume
2025-11-28,430.1700134277344,430.1700134277344,432.92999267578125,426.20001220703125,426.5899963378906,36252900
2025-12-01,430.1400146484375,430.1400146484375,433.6600036621094,425.2900085449219,425.32000732421875,57463600
2025-12-02,429.239990234375,429.239990234375,436.79998779296875,422.1199951171875,430.80999755859375,69336600
2025-12-03,446.739990234375,446.739990234375,447.9200134277344,431.1099853515625,432.1000061035156,87483000
2025-12-04,454.5299987792969,454.5299987792969,454.6300048828125,445.3900146484375,449.94000244140625,71906500
2025-12-05,455.0,455.0,458.8699951171875,451.6600036621094,453.0299987792969,56427500
2025-12-08,439.5799865722656,439.5799865722656,449.75,435.25,447.45001220703125,69165800
2025-12-09,445.1700134277344,445.1700134277344,452.3900146484375,435.70001220703125,437.5400085449219,62367400
2025-12-10,451.45001220703125,451.45001220703125,456.8800048828125,443.6099853515625,446.07000732421875,63257500
2025-12-11,446.8900146484375,446.8900146484375,449.2699890136719,440.3299865722656,448.95001220703125,55979500
2025-12-12,458.9599914550781,458.9599914550781,463.010009765625,441.6700134277344,448.0899963378906,95656700
2025-12-15,475.30999755859375,475.30999755859375,481.7699890136719,467.6600036621094,469.44000244140625,114542200
2025-12-16,489.8800048828125,489.8800048828125,491.5,465.8299865722656,472.2099914550781,107608100
2025-12-17,467.260009765625,467.260009765625,495.2799987792969,466.20001220703125,488.2200012207031,106490400
2025-12-18,483.3699951171875,483.3699951171875,490.8599853515625,473.1199951171875,478.1600036621094,95168400
2025-12-19,481.20001220703125,481.20001220703125,490.489990234375,474.7200012207031,488.1199951171875,103305400
2025-12-22,488.7300109863281,488.7300109863281,498.8299865722656,485.3299865722656,489.8800048828125,86916100
2025-12-23,485.55999755859375,485.55999755859375,491.9700012207031,482.8399963378906,489.3999938964844,58223600
2025-12-24,485.3999938964844,485.3999938964844,490.8999938964844,476.79998779296875,488.4800109863281,41285400
2025-12-26,475.19000244140625,475.19000244140625,489.0899963378906,473.82000732421875,485.2300109863281,58521400
